epoch,step,total_train_loss,real_train_loss,rec_train_loss,contra_train_loss,real_train_acc,rec_train_acc,real_train_top5,rec_train_top5,total_val_loss,real_val_loss,rec_val_loss,contra_val_loss,real_val_acc,rec_val_acc,real_val_top5,rec_val_top5,sav_version
0,1266,0.7183739256708166,0.24678652548771146,0.4637030735141105,0.0788432761576574,0.9458765304107419,0.9195059488546605,0.991089648064256,0.7857433219281817,1.1585525545206936,0.5512904682845781,0.5346440042961728,0.7261808054013685,0.8929159382284378,0.9000309586247087,0.7603951812979788,0.6939970952865181,1
1,2532,0.33730731181812135,0.0735976523105467,0.26024084743612563,0.03468812022455284,0.9766421060426543,0.9490033817140594,0.9874458338627231,0.7654848935469735,0.8725912814790552,0.424809955342701,0.4049381778547258,0.42843149015397736,0.917691032925408,0.9193983100233101,0.7525379149842117,0.6775322494350442,2
2,3798,0.3023255108539339,0.06112455073920613,0.23803083353645005,0.031701267456362175,0.9806458580173781,0.9525233264218004,0.9891810683447123,0.7677866972382179,0.8162736215374686,0.3920448061191674,0.3801502497358756,0.4407857089783206,0.9256219041375292,0.9240211611305363,0.7822955193587452,0.6976506477882775,3
3,5064,0.2828349669892076,0.054392511428202873,0.2254843271644948,0.029581284872145872,0.9828075631911544,0.9546763921800967,0.990171494777788,0.7757580398971117,0.7193868851119821,0.3310033277128682,0.34614468636837875,0.4223887261116143,0.9364610649766902,0.9292613636363637,0.8033611851810768,0.7000473243794822,4
4,6330,0.2701948849840375,0.049983875035186184,0.21717579816401852,0.03035211487927755,0.9842318325434444,0.9561327507898885,0.991448798754839,0.7807338842335004,0.6724090860648588,0.3046876811845736,0.3269975494706269,0.4072385647080161,0.9409118225524473,0.933096590909091,0.8209744168780211,0.71123415716402,5
5,7596,0.2619269163764154,0.04687377454059737,0.21217557130599216,0.028775705694034107,0.9852722650079007,0.9569800306082137,0.9917354657287596,0.7825567469747495,0.6578991986585386,0.2910082529327183,0.329232975163243,0.3765796928694754,0.9441806891025637,0.9327259979603727,0.8436018242549236,0.7037470170338607,6
6,8862,0.2530993490787385,0.04418737851789495,0.20609634467304977,0.02815626312332672,0.9860510466034754,0.9579100019747235,0.9925741934549034,0.7875790288046698,0.6106633399472092,0.26772721522403037,0.3043710882916595,0.38565035344976367,0.9473138840326337,0.9369318181818179,0.8558792814093158,0.7282543385221737,7
7,10128,0.24884232206014095,0.042057754733786576,0.20406172915375062,0.027228382897914915,0.9866551885860976,0.9581463516982627,0.9933387149586972,0.7884257925707261,0.616757953708822,0.276572465473278,0.3015755419478272,0.3860994193590049,0.9472874781468533,0.9384269376456879,0.845459477346016,0.7410994820983733,7
8,11394,0.24205022238159632,0.04010896107415841,0.19909695477635375,0.02844306774802306,0.9872642673775669,0.9590183155608212,0.9931101971908332,0.793167545059058,0.6168624072363882,0.2663481230988647,0.3151063388495734,0.35407946078163205,0.9486651369463868,0.9367005390442888,0.8622840115639119,0.7290032107209663,7
9,12660,0.2368557671391027,0.03862932055146179,0.19540702042392033,0.028194267215945805,0.9875746692338071,0.9596539296998413,0.9938590669681987,0.796842651654377,0.5834778529224973,0.2481820582779068,0.3003965269661311,0.3489926437085325,0.9512110285547787,0.9378068546037295,0.8730476941493974,0.7377203627160044,8
10,13926,0.23208975991731476,0.03730767749847276,0.19194984109005575,0.028322416655631004,0.987944929897314,0.9601722946287505,0.9944648625566263,0.8001217731355945,0.5534270496079416,0.23410841132598845,0.284686517534834,0.34632120552388107,0.9542650058275058,0.9393393065268064,0.8796195604207585,0.7390400246778126,9
11,15192,0.2256594870539638,0.03582656513116106,0.18703337440982248,0.027995474835178016,0.988384305884678,0.9607739682069528,0.9949841470340133,0.805154283003847,0.5447582717646252,0.22730299937679913,0.2837135900150646,0.33741682000232465,0.9548167977855477,0.9416775932400931,0.8851037001737672,0.7563897475518131,10
12,16458,0.22212677115889334,0.03459694635455524,0.18467209898053094,0.028577255229296467,0.9887403732227505,0.9611263329383865,0.9951852493207203,0.8074949607927874,0.5203425209179069,0.2153632234161099,0.27460207203120895,0.3037722399740508,0.9557091346153843,0.9410529574592076,0.8912174374482728,0.7498571162347724,11
13,17724,0.2182083082919437,0.03391451885670682,0.18142908364887486,0.028647057209634716,0.9888983511058467,0.9613176342812,0.995612876494982,0.8120490145382252,0.5139484326496269,0.20998194024926334,0.2727099557717641,0.31256539939027844,0.9578889860139858,0.9425298659673661,0.8945006955840922,0.7627910994532193,12
14,18990,0.21602363574890918,0.03318011847278324,0.18004971888581348,0.02793798387700936,0.9890723736176936,0.9614145191548185,0.9958276864200282,0.8129710760507209,0.496011833801414,0.19561388615913916,0.2697755215745984,0.30622424975489126,0.9588141025641027,0.9422230113636363,0.9062794152026961,0.7675026522681336,13
15,20256,0.2114266342002351,0.0322255319399843,0.17644474308166835,0.02756359551313788,0.989330321879939,0.9618761107819919,0.9960202495281214,0.8177954565901624,0.46997457697536005,0.1860541393980384,0.2530172025841294,0.3090323135256767,0.9611988272144523,0.9445995410839156,0.9103959406233016,0.7692022799870766,14
16,21522,0.2075064927221851,0.03166015595594924,0.1731450898046083,0.027012469851681126,0.9894790432464452,0.9624784014612963,0.9960234097556123,0.8218605349681457,0.45244783095338126,0.1800655819136988,0.24227662519975143,0.30105625928351376,0.96210118006993,0.9458661130536132,0.9129529471360485,0.7722377282462356,15
17,22788,0.2071961630459457,0.031066273942319044,0.17341832347261302,0.027115658651684273,0.9895975266587695,0.962213047985781,0.99648471767954,0.8207283577188348,0.4589968280810298,0.17418847083480973,0.25438828190619295,0.30420076102018356,0.9619691506410256,0.9434039918414918,0.9191222643887915,0.7655567715553447,15
18,24054,0.20187934426487167,0.03039478468760189,0.16873007471874849,0.027544846970111274,0.9898240027646131,0.9629159261453393,0.9966194064177518,0.8276362558667073,0.4624028700319203,0.17930323410440574,0.25344859673218295,0.29651033968636487,0.9617961465617717,0.9448007721445221,0.9160914419455416,0.7767624243394853,15
19,25320,0.19936156968511112,0.029958086800401056,0.16680153518327398,0.026019472842167997,0.9899813635466038,0.9630615620063189,0.9968012062373369,0.8285211499862755,0.46542335572567856,0.1835955927769343,0.2515888981746905,0.30238861093918484,0.9620520104895106,0.9449555652680655,0.914431245306551,0.7839322891838085,15
20,26586,0.19821386642483363,0.029887772879914908,0.16568498062131717,0.026411126595796756,0.9899721070300153,0.9631485732622438,0.9967984729133651,0.8296850199454031,0.44038151023965894,0.1712851920306231,0.24125997564106277,0.27836343442851846,0.9629015515734269,0.9455838432400934,0.9246015784593102,0.7815075374538072,16
21,27852,0.19537843393064788,0.02925896390060207,0.16343019502222728,0.026892749674318102,0.9900671406003163,0.9634540383096364,0.9970768298663238,0.8327505511749225,0.43079906115026184,0.1650422905487093,0.2367018937613025,0.290548751977357,0.9641162223193475,0.9469696969696972,0.9271963835063115,0.786450384579852,17
22,29118,0.19347366442430122,0.02866067183586529,0.1620033908117486,0.028096016935598087,0.9902133935623995,0.9634688487361768,0.9972610632109279,0.834919837762769,0.4099235234386993,0.1552797124692888,0.2273568898213632,0.2728691744533452,0.9657652243589743,0.9483728511072258,0.9338465415609185,0.8013496402620202,18
23,30384,0.19036724106799924,0.028424757914895363,0.15917247519474467,0.02770007965794954,0.9904355499605061,0.9637841874012645,0.9973201743222792,0.8391743548357287,0.41207653532425564,0.14973831907704924,0.23570829020305115,0.2662992788986726,0.96797694493007,0.9474495556526805,0.9321905331685096,0.7852743598828642,18
24,31650,0.18933966492801482,0.02781412047871034,0.1588130567581827,0.027124878001439062,0.9905639069905208,0.9637206259873602,0.997420111809838,0.8402746784005141,0.39869046504750394,0.1443089205122581,0.22907378152012825,0.25307760387659073,0.9685587849650351,0.9475606424825175,0.9351228426685714,0.8012078117393849,19
25,32916,0.18579419880022557,0.027371221940705515,0.15563531788463275,0.02787658852402939,0.9905947620458148,0.9641587677725139,0.9974877790835663,0.8438064573379388,0.3870182077993046,0.13824793342218705,0.22371880619814902,0.25051465878884,0.9693327505827504,0.9487006483100235,0.9434384257277492,0.811782029161228,20
26,34182,0.18321948993427306,0.026772960934215658,0.1536716138664486,0.027749149769538715,0.9907885317930475,0.9643488349131133,0.998052550947284,0.8467916950187865,0.3778475243033785,0.13615156456150793,0.2159003046425906,0.25795657887603296,0.9688811188811188,0.9496048222610721,0.9473739103621882,0.8131685893551355,21
27,35448,0.18136721813542206,0.025921430778439565,0.15261763696504335,0.028281501468600586,0.991065610189573,0.964646277646129,0.9976301626485896,0.8477338002128736,0.35911733453924005,0.11497775147753683,0.21905319663611325,0.25086384379502497,0.9729712995337995,0.9483783143939393,0.9516889378270585,0.8039192019433338,22
28,36714,0.18079242587242553,0.025777051393766588,0.1521259980146754,0.028893764205070987,0.9911162124802533,0.9644364632701425,0.9980782060035193,0.8492528156109563,0.3452561946980881,0.11708865788849918,0.2023881268546437,0.2577941103866606,0.97283835955711,0.9512210445804196,0.9500461024186079,0.8266804433683234,23
29,37980,0.17547421905066446,0.025156512616112486,0.14740054406767114,0.029171622855556426,0.9912427182069498,0.9652639958530788,0.9981138706638369,0.8547087786511194,0.35957140204581345,0.1255328215827996,0.21044336609316594,0.23595217073505576,0.9722173659673659,0.9497659892191143,0.9510049221492295,0.818853692192869,23
30,39246,0.17422593798411873,0.024440971893916058,0.14690046018801664,0.02884505643902161,0.9915481832543444,0.9652430144154809,0.9980095742643709,0.8547880832777351,0.3544330298900604,0.11865646345540881,0.21219447955037607,0.2358208732171492,0.9746567234848482,0.9504206730769229,0.9539810541585516,0.8232998844179834,23
31,40512,0.17086527753756697,0.023831132016480145,0.1440421515519585,0.02991994191108251,0.9917635515402852,0.9655966133491298,0.9982379321713463,0.8607910387364347,0.327340729534626,0.10264358419755643,0.20176192926186504,0.22935213882363203,0.975685642482518,0.9507202432983678,0.9628498762444265,0.8198383889533813,24
32,41778,0.16809682167277892,0.023370201315338714,0.1417311138898652,0.029955065992365092,0.9919708975118476,0.9659718108214842,0.9981589851724402,0.8637545860169477,0.33028652677030274,0.11312324536794965,0.1945514085166382,0.22611872174523093,0.9754115675990678,0.9523018648018649,0.9558359505630049,0.8325385862507619,24
33,43044,0.1681310464385279,0.023112347101981016,0.14208281562791616,0.029358835183937355,0.9919085703001581,0.965848390600315,0.9983316525978015,0.8627206851920284,0.32200575190963165,0.100495357172225,0.19813403780713226,0.23376354202628136,0.976957677738928,0.9521261290792544,0.9624832515273063,0.8357204749476286,25
34,44310,0.16415484948157322,0.02238506899332593,0.13891184831400052,0.028579322591064996,0.9921683698657179,0.9663056625197479,0.998418160826398,0.867340726309158,0.30455929763389356,0.0952246671076864,0.18564237733230446,0.23692248964851553,0.9782206075174823,0.9551673586829835,0.9596621071583675,0.8397580836005895,26
